pl_name,pl_altname,st_name,st_spectral_type,st_distance,st_apparent_magnitude,pl_semi_major_axis,pl_eccentricity,pl_orbital_period,pl_angular_distance,pl_periastron_time,pl_inclination,pl_argument_of_periastron,pl_mass,pl_minimum_mass,pl_radius,pl_density,pl_temperature,disc_method,disc_year,disc_facility
Kepler-864 b,,Kepler-864,,"ValueWithUncertainty(value=2022, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=15, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.0687, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=5, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.034, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=84, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.02, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.21411366, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1143, error_positive=None, error_negative=None, sign=None)",Transit,"ValueWithUncertainty(value=2016, error_positive=None, error_negative=None, sign=None)",Kepler
TOI-2120 b,,TOI-2120,,"ValueWithUncertainty(value=32, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=15, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.0377, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.32, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=5, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=88, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.02139519, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.18931249, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=20, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=384, error_positive=None, error_negative=None, sign=None)",Transit,"ValueWithUncertainty(value=2024, error_positive=None, error_negative=None, sign=None)",Transiting Exoplanet Survey Satellite (TESS)
Kepler-497 b,,Kepler-497,,"ValueWithUncertainty(value=1291, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=14, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.0457, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=3, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.0354, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=89, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.0957, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.53885271, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.758, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1210, error_positive=None, error_negative=None, sign=None)",Transit,"ValueWithUncertainty(value=2016, error_positive=None, error_negative=None, sign=None)",Kepler
HATS-55 b,,HATS-55,,"ValueWithUncertainty(value=609, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=13, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.05412, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.092, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=4, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.0887, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=86, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.921, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.587, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1367, error_positive=None, error_negative=None, sign=None)",Transit,"ValueWithUncertainty(value=2019, error_positive=None, error_negative=None, sign=None)",HATSouth
HD 93385 d,,HD 93385,G2/G3 V,"ValueWithUncertainty(value=43, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=7, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.2565, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.09, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=45, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=5, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2455522, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=-55, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.02737326, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.0273732611949944, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.258, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)",,Radial Velocity,"ValueWithUncertainty(value=2021, error_positive=None, error_negative=None, sign=None)",La Silla Observatory
Kepler-289 c,,Kepler-289,,"ValueWithUncertainty(value=704, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=14, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.50155, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=125, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.712, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=89, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.49, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.66, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=394, error_positive=None, error_negative=None, sign=None)",Transit,"ValueWithUncertainty(value=2014, error_positive=None, error_negative=None, sign=None)",Kepler
HD 202772 A b,,HD 202772 A,,"ValueWithUncertainty(value=161, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=8, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.05208, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.038, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=3, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.322, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2458328, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=84, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=98, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.343, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2132, error_positive=None, error_negative=None, sign=None)",Transit,"ValueWithUncertainty(value=2019, error_positive=None, error_negative=None, sign=None)",Transiting Exoplanet Survey Satellite (TESS)
OGLE-2015-BLG-1649L b,,OGLE-2015-BLG-1649L,,"ValueWithUncertainty(value=4230, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=2, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=0.489, error_positive=None, error_negative=None, sign=None)",,,,"ValueWithUncertainty(value=2, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)",,Microlensing,"ValueWithUncertainty(value=2019, error_positive=None, error_negative=None, sign=None)",OGLE
Kepler-1298 b,,Kepler-1298,,"ValueWithUncertainty(value=544, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=11, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.0814, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=7, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.15, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=88, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.00714, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.11687037, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=5, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1373, error_positive=None, error_negative=None, sign=None)",Transit,"ValueWithUncertainty(value=2016, error_positive=None, error_negative=None, sign=None)",Kepler
KMT-2016-BLG-1397L b,,KMT-2016-BLG-1397L,,"ValueWithUncertainty(value=6600, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=5, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=0.773, error_positive=None, error_negative=None, sign=None)",,,,"ValueWithUncertainty(value=7, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=5, error_positive=None, error_negative=None, sign=None)",,Microlensing,"ValueWithUncertainty(value=2018, error_positive=None, error_negative=None, sign=None)",KMTNet
KOI-94 d,,KOI-94,,"ValueWithUncertainty(value=477, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=12, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.1684, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.022, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=22, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.353, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=89, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.334, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.2504553721, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.363, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=806, error_positive=None, error_negative=None, sign=None)",Transit,"ValueWithUncertainty(value=2013, error_positive=None, error_negative=None, sign=None)",Kepler
Kepler-939 b,,Kepler-939,,"ValueWithUncertainty(value=2093, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=15, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.1153, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=14, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.0551, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=85, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.0117, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.15612454, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=3, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=692, error_positive=None, error_negative=None, sign=None)",Transit,"ValueWithUncertainty(value=2016, error_positive=None, error_negative=None, sign=None)",Kepler
Kepler-1979 b,,Kepler-1979,,"ValueWithUncertainty(value=1076, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=15, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.1383, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=18, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.128, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=77, error_positive=None, error_negative=None, sign=None)",,,,"ValueWithUncertainty(value=2, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=683, error_positive=None, error_negative=None, sign=None)",Transit,"ValueWithUncertainty(value=2023, error_positive=None, error_negative=None, sign=None)",Kepler
Kepler-520 b,,Kepler-520,,"ValueWithUncertainty(value=623, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=12, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.14628, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=19, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.234, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=87, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.0107, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.14809528, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=4, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=711, error_positive=None, error_negative=None, sign=None)",Transit,"ValueWithUncertainty(value=2016, error_positive=None, error_negative=None, sign=None)",Kepler
NGTS-13 b,,NGTS-13,,"ValueWithUncertainty(value=647, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=12, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.0549, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.086, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=4, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.0848, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=88, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=-146, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=4, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=4, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1605, error_positive=None, error_negative=None, sign=None)",Transit,"ValueWithUncertainty(value=2021, error_positive=None, error_negative=None, sign=None)",Next-Generation Transit Survey (NGTS)
HAT-P-34 b,,HAT-P-34,,"ValueWithUncertainty(value=249, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=10, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.06774, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.432, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=5, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.272, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=87, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=21, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=3, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1520, error_positive=None, error_negative=None, sign=None)",Transit,"ValueWithUncertainty(value=2011, error_positive=None, error_negative=None, sign=None)",HATNet
HD 141399 b,,HD 141399,K0,"ValueWithUncertainty(value=37, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=7, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.415, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.04, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=94, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=11, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2456998, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=-90, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.451, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.451, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.269, error_positive=None, error_negative=None, sign=None)",,Radial Velocity,"ValueWithUncertainty(value=2014, error_positive=None, error_negative=None, sign=None)",Multiple Observatories
TOI-139 b,,TOI-139,,"ValueWithUncertainty(value=42, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=10, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=11, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=89, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.0208, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.21916355, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=561, error_positive=None, error_negative=None, sign=None)",Transit,"ValueWithUncertainty(value=2023, error_positive=None, error_negative=None, sign=None)",Transiting Exoplanet Survey Satellite (TESS)
HIP 8152 b,,HIP 8152,,"ValueWithUncertainty(value=101, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=10, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.093, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=10, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.915, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=90, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.02800253, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.22627021, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=794, error_positive=None, error_negative=None, sign=None)",Transit,"ValueWithUncertainty(value=2023, error_positive=None, error_negative=None, sign=None)",Transiting Exoplanet Survey Satellite (TESS)
