name,host_star,discovery_year,discovery_method,mass,mass_error_min,mass_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,equilibrium_temperature,equilibrium_temperature_error_min,equilibrium_temperature_error_max,source,last_updated
OGLE-2016-BLG-1227L b,OGLE-2016-BLG-1227L,2020.0,Microlensing,250.0,413.0,-120.0,13.9,,,,,,3.4,2.1,-1.0,,,,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HAT-P-3 b,HAT-P-3,2007.0,Transit,206.5895,34.9613,-34.9613,10.53646,0.78463,-0.78463,2.8997,5.4e-05,-5.4e-05,0.03866,0.00041,-0.00041,0.0,,,87.24,0.69,-0.69,1189.0,16.0,-16.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-1065 b,Kepler-1065,2016.0,Transit,13.4,,,3.73,0.64,-0.36,3.609308907,5.102e-06,-5.102e-06,0.0455,,,0.0,,,88.42,,,1092.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 132406 b,HD 132406,2007.0,Radial Velocity,1887.90073758,206.58846455,-187.51876013,12.8,,,908.0,16.0,-16.0,1.98,0.06,-0.06,0.25,0.063,-0.075,122.0,14.0,-14.0,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
TOI-1260 c,TOI-1260,2021.0,Transit,13.2,4.23,-4.23,2.76,0.07,-0.07,7.493134,2e-05,-2e-05,0.0657,0.002,-0.002,0.0,,,87.97,0.11,-0.11,651.0,18.0,-18.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 149143 b,HD 149143,2005.0,Radial Velocity,422.7139,47.6745,-47.6745,13.6,,,4.07182,1e-05,-1e-05,0.053,0.0029,-0.0029,0.0167,0.004,-0.004,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 99492 b,HD 99492,2004.0,Radial Velocity,25.5,0.6,-0.6,5.44,,,17.0503,0.0016,-0.0016,0.12,0.0,0.0,0.034,0.025,-0.021,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
nu Oph c,nu Oph,2012.0,Radial Velocity,7838.32346,,,12.0,,,3180.6,5.01,-4.52,5.829,0.006,-0.006,0.179,0.007,-0.005,90.0,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
75 Cet b,75 Cet,2012.0,Radial Velocity,787.89662095,23.51930212,-28.60455663,13.3,,,696.62,1.33,-1.69,1.912,0.002,-0.003,0.093,0.026,-0.042,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
gam Lib b,gam Lib,2018.0,Radial Velocity,357.87478628,32.10066911,-34.32546796,13.7,,,414.88,1.24,-1.47,1.319,0.003,-0.003,0.16,0.071,-0.107,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 113337 b,HD 113337,2013.0,Radial Velocity,1035.80277841,119.82130944,-129.99181846,13.1,,,317.58639,1.62423,-1.4301,1.022,0.055,-0.062,0.28,0.036,-0.041,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 28109 c,HD 28109,2022.0,Transit,7.943,4.227,-3.046,4.23,0.11,-0.11,56.00819,0.00194,-0.00202,0.308,0.011,-0.011,0.1203,,,89.543,0.093,-0.086,585.2,8.7,-8.3,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
K2-350 b,K2-350,2021.0,Transit,2.99,,,1.54,0.15,-0.11,4.163873,2.2e-05,-2.3e-05,,,,,,,,,,1158.0,29.0,-34.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
K2-342 b,K2-342,2021.0,Transit,4.78,,,2.03,0.13,-0.09,11.561052,0.00069,-0.000668,,,,,,,,,,861.0,14.0,-15.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
EPIC 212587672 b,EPIC 212587672,2019.0,Transit,2.13,,,1.26,0.11,-0.09,15.28078,0.000121,-0.000116,,,,,,,,,,756.0,14.0,-15.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
K2-332 b,K2-332,2021.0,Transit,5.48,,,2.2,0.19,-0.15,17.70632,6.3e-05,-6.3e-05,,,,,,,,,,266.0,5.0,-8.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
K2-340 b,K2-340,2021.0,Transit,11.2,,,3.36,0.44,-0.32,29.740451,0.000169,-0.000161,,,,,,,,,,606.0,31.0,-36.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HR 8799 d,HR 8799,2008.0,Imaging,3000.0,1000.0,-1000.0,13.0,1.0,0.0,37000.0,,,24.0,,,0.6,,,38.63,2.84,-2.84,1300.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 25463 c,HD 25463,2023.0,Transit,4.3,1.9,-1.9,1.36354953,0.13045621,-0.09615242,3.04405,1e-05,-1e-05,0.0443,0.0008,-0.0008,0.0,,,,,,1585.57,25.67,-23.61,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
